,Commit Message,IsFix
26,"efl_ui_win: Fix dereference null return

Summary:
Coverity reports that efl_data_scope_safe_get returns NULL here
(checked 273 out of 285 times). Add an EINA_SAFETY check here before
trying to use 'sd'.

Fixes Coverity CID1399427

@fix

Depends on D8346

Reviewers: raster, cedric, zmike, bu5hm4n, stefan_schmidt

Reviewed By: cedric

Subscribers: #reviewers, #committers

Tags: #efl

Differential Revision: https://phab.enlightenment.org/D8347
",True
27,"a2dp-codecs & avinfo: Fix parsing MPEG bit rate values

Redefine bitrate field in a2dp_mpeg_t struct in endian neutral way and
separate vbr field according to A2DP specification. Define new macros
MPEG_GET_BITRATE() and MPEG_SET_BITRATE() for manipulating with bitrate
like for a2dp_aac_t struct.

And fix meaning of bitrate field. According to A2DP specification, it is
bitrate index, not bitrate itself. According to MPEG specification, each
MPEG layer have different bitrates for bitrate indexes. Therefore define
correctly bitrates for Layers 1, 2 and 3.

This fixes problems with parsing bitrate field in a2dp_mpeg_t struct as it
was broken due to endianity and it was broken for Layer 1 and 2 as bitrate
definitions was for Layer 3.

Change-Id: Ied2e860f5c54ccd6bbef7770959f5ac553022a56
Signed-off-by: himanshu <h.himanshu@samsung.com>
",True
28,"test-network: remove unnecessary links
",False
29,"rtpjitterbuffer: use the correct segment seqnum
",True
30,"Add A2dpRole property in the adapter interface

Change-Id: I818c3a65b700783fb11b5c67fad8af9149a33ee9
Signed-off-by: DoHyun Pyun <dh79.pyun@samsung.com>
",False
31,"freedreno/ir3: rename instructions

Turns out this range of opcodes are more general purpose if/else/endif
instructions.

We should re-work tess to create a basic block and use normal flow
control.  And possibly (for a6xx+) optimize cases to use if/else/endif
when appropriate.

Signed-off-by: Rob Clark <robdclark@chromium.org>
Tested-by: Marge Bot <https://gitlab.freedesktop.org/mesa/mesa/merge_requests/3398>
Part-of: <https://gitlab.freedesktop.org/mesa/mesa/merge_requests/3398>
",False
32,"Internal change

PiperOrigin-RevId: 291690233
Change-Id: I294cf4f577d1d17ad5bbb6e3be022ece6268575c
",False
33,"efl_ui_widget: do not eval all the children twice

Summary:
eval all children is ending up in the complete discovery of the whole
subtree, which is unnessesary here, as we are already discovering the
whole subtree with the calls, these changes are in, so simple
evalulating this is enough.
Depends on D11551

Reviewers: zmike

Reviewed By: zmike

Subscribers: cedric, #reviewers, #committers

Tags: #efl

Differential Revision: https://phab.enlightenment.org/D11554
",False
34,"Ensure trivially copyable dtype when masquerading XlaExpressions.

We pass XlaExpressions between kernels by masquerading them as tensors.
This works by encoding the XlaExpression within the allocated tensor_data.
As long as this data is not interpreted as its original dtype, this works
ok. However, if a tensor gets copied and the tensor_data is inspected for
copying, this might fail if the copy logic tries to interpret the
potentially illegal tensor_data.
We already had special code for DT_VARIANT tensors and this change extends
it to all dtypes that are not copyable via memcopy.

The old behavior triggered a bug in the opensource build when passing around
the result of an XLA constant operation with dtype string.

PiperOrigin-RevId: 241480301
",True
35,"Deprecate of Tizen.Account.OAuth2 (#1094)

",False
36,"GPU abstraction for calling device functions and example usage for calling shfl function
",False
37,"glsl: additional interface redeclaration check for SSO programs

Patch adds additional linker check for SSO programs to make sure they
are redeclaring built-in blocks as required by the desktop spec.

This fixes following Piglit tests:
   arb_separate_shader_objects/linker/pervertex-*

Signed-off-by: Tapani Pälli <tapani.palli@intel.com>
Reviewed-by: Timothy Arceri <tarceri@itsqueeze.com>
",True
38,"Add FULLY_CONNECTED op support to Core ML delegate

This initial version only supports FULLY_CONNECTED op with single-batch input.

PiperOrigin-RevId: 305381694
Change-Id: Ifca308198f4b108cc8a1df88acd865ea596221ac
",False
39,"ecore_x - restore move event skipper that was removed long ago

so i've been wondering what is going on for a few days... and i've
figured it out finally... my mouse seems ot like to generate 1000
events per second. not your usual 100 or 200. it only happened on this
one machine so i was wondering what on earth was up. this machine was
different in other ways like an arm cpu, differing gpu (rx550),
different distro and so on. this is creating a storm of motion events..
and this is causing all sorts of overhead in just trying to deal with
them all like generate more internal events, emit signals for every
one of them and so on. there is no attempt to play catch-up or
anything - just build up a bigger and bigger queue of them to deal
with. this is NOT GOOD. this restores our old commented out event
skipper that got commented out during some xcb work actually -
not on its own. it was a huge xcb patch that commented it out.

this restores it and makes it a little cleaner with a bool and now the
perf issues i was seeing are gone. this is such a major performance
fix that this deserves a backport.

@fix @optimize
",True
40,"c: coverity: resource leaked when using realloc.

Summary:
from https://en.cppreference.com/w/c/memory/realloc
```
On success, returns the pointer to the beginning of newly allocated memory.
To avoid a memory leak, the returned pointer must be deallocated with free()
or realloc(). The original pointer ptr is invalidated and any access to it
is undefined behavior (even if reallocation was in-place).

On failure, returns a null pointer. The original pointer ptr remains valid
and may need to be deallocated with free() or realloc(). ```
So a temporary to test if `realloc` failed
then use the original pointer to use `free`.
`CID1404749`
`CID1404741`

Reviewers: lauromoura, felipealmeida, zmike

Reviewed By: zmike

Subscribers: cedric, #reviewers, #committers

Tags: #efl

Differential Revision: https://phab.enlightenment.org/D10284
",True
41,"Simplify launch_func rewrite pattern in mlir-cuda-runner

Use the bulk setOperands on the cloned operation, no need to cast or iterate
over the operand list.

PiperOrigin-RevId: 256643496
",False
42,"pan/bi: Handle f2f* opcodes

Just more converts that got missed.

Signed-off-by: Alyssa Rosenzweig <alyssa.rosenzweig@collabora.com>
Part-of: <https://gitlab.freedesktop.org/mesa/mesa/-/merge_requests/4382>
",False
43,"Check the number of children of GVariant

If there is no external storage mounted, 'GetDeviceList' will return an empty array.
So, added exception handling for this case.

Change-Id: Ia34e8d5ce97629ab35cceb31fd064ff8b955b313
Signed-off-by: Minje Ahn <minje.ahn@samsung.com>
",True
44,"IVGCVSW-4015 Add input and output workload to post-optimisation structure

Signed-off-by: Narumol Prangnawarat <narumol.prangnawarat@arm.com>
Change-Id: Ic9fbe1300cf8c4b8a78bad5934f0b2d18b205090
",False
45,"compat: Update forward compatibility horizon to 2020-04-28

PiperOrigin-RevId: 308785103
Change-Id: I21ec3409c8a05a5691155b324c9183cfcf1ac5a2
",False
46,"fsck.f2fs: include f2fs_fs.h from local directory

f2fs_fs.h locats in local directory rather than system one, fix it.

Signed-off-by: Chao Yu <yuchao0@huawei.com>
Signed-off-by: Jaegeuk Kim <jaegeuk@kernel.org>
",True
47,"Small improvement to TANH/Sigmoid implementation.

Change-Id: Ia9fa7e70e15a5174a045ee5f98cf4f78e6a43ef6
",False
48,"Use OP_REQUIRES_OK_ASYNC in the MakeIteratorOp async kernel

PiperOrigin-RevId: 278936963
Change-Id: Ia07d246ee6f010480a5746c08cb61810f3f26033
",False
49,"Rename tf.where_v2 to tf.compat.v2.where, as rename script has to

work in v1 and v2 so explicitly specifying tf.compat.v2.where
(from review comment).

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>
",False
50,"[Test/tizensensor] Add unittest for tensor_src_tizensensor

- Add negative TCs with invalid sensor, unsupported sensor

Signed-off-by: Yongjoo Ahn <yongjoo1.ahn@samsung.com>
",False
51,"Reduce JIT and type load overhead in WinForms startup (#39315)

https://github.com/dotnet/corefx/pull/37853#discussion_r300974699

The existing code was trading startup perf for throughput in a codepath that is unlikely to be executed commonly. The common scenario is that the `UserPreferencesChanging` event is not fired for the entire lifetime of the app (I left an app listening for this event running for an hour of normal work and never once was the event fired. I then changed system colors to force it).

To set up the high performance path, we have to load two unique `Func` instantiations and JIT a generic method. It's likely the throughput optimization won't pay for itself in terms of CPU cycles even if someone does change quite a few settings.",False
52,"Consider as normal operation when destroy is executed before job function of data is triggered

Change-Id: I59a9766e50cbe426d71814522e286aa5514dc19a
",False
53,"[Tizen] Add KeyEventGeneratedSignal for Get KeyEvent normally

This reverts commit ad9fbaaafce5fb10ea2b5aa6fc03809b1f2c58a8.

Change-Id: I625ee2160f3a6a573614156e60a6d85796ea911b
",False
54,"PR #36578: Go: NewTensor & Value performance improvement

Imported from GitHub PR https://github.com/tensorflow/tensorflow/pull/36578

Considerable improvements in NewTensor & Value performance for non-String Tensors.

```
name                           old time/op    new time/op    delta
Tensor/New/[150528]int32-16      1.95ms ± 1%    0.11ms ±14%   -94.12%  (p=0.000 n=8+7)
Tensor/New/[]float32-16          12.2ms ± 1%     0.8ms ±66%   -93.68%  (p=0.000 n=7+8)
Tensor/New/[][]flo...

PiperOrigin-RevId: 296486807
Change-Id: I56f252adb70d50cf439583b1cdc9b63c3fe8bc2e
",False
55,"NEON-optimized HardSwish

PiperOrigin-RevId: 253787700
",False
56,"Fix api reference for component based app

Change-Id: Ib40389e6e3f3ae0e80da405e7a4060c919a38a1d
Signed-off-by: SukHyung, Kang <shine.kang@samsung.com>
",False
57,"eina: do not free NULL ptr

this is definitly NULL here, but usefull for later usage.
",True
58,"efl-mono: Enable selecting to build @beta items

Summary:
For autotools, use --enable-csharp-beta to enable the generation of beta
methods and properties, for meson use -Dmono-beta=true.

By default, no beta method or property is generated.

Reviewers: woohyun, segfaultxavi, bu5hm4n, lauromoura

Reviewed By: woohyun

Subscribers: cedric, #reviewers, #committers

Tags: #efl

Differential Revision: https://phab.enlightenment.org/D7637
",False
59,"COMPMID-1710: Add FP16 support checks.

Change-Id: I6291847935996859ab245160714f9fbefb03b5be
Signed-off-by: Georgios Pinitas <georgios.pinitas@arm.com>
Reviewed-on: https://review.mlplatform.org/761
Tested-by: Arm Jenkins <bsgcomp@arm.com>
Reviewed-by: Gian Marco Iodice <gianmarco.iodice@arm.com>
",True
60,"    Implement lowering of quant.dcast to the fxpmathops and standard dialect.

    Note that I broke this out as a separate pass because intermediate transformations often produce qcast/dcast ops that are integral to the transformation, and it is typical to want to lower any remaining, unmatched casts at the end of quantization. If this flexibility ends up not being needed, they can be collapsed into the same pass. This is included in the same cpp file because all of the math ops will need to defer to emitting quantize/dequantize logic for cases that they cannot be fully lowered to fixed-point math.

    Also, the new convertistof op needs to be evaluated for inclusion in StandardOps.

--

PiperOrigin-RevId: 244768679
",False
61,"[Tizen] Set custom fragment shader to the visual used in WebView

This reverts commit c0a9100a905af181cead1ac3884ad9d8ff925390.
",False
62,"Apply functionalization and also use existing data type if it is not specified

This patch contains two changes:

- apply functionalization pass before the graph is imported to MLIR.
- If the input data type isn't specified, we use the one in the graph.

PiperOrigin-RevId: 276629651
Change-Id: I9251ceac66e245836dba8fcac8ed4a576c4f18ae
",False
63,"zink: factor out builtin-var creation

This is useful so we can reuse it for the next patch

Reviewed-by: Alyssa Rosenzweig <alyssa.rosenzweig@collabora.com>
",False
64,"Changes Mul builder to use the 32-bit version & Requantize by default. This fixes accuracy issues

PiperOrigin-RevId: 299877576
Change-Id: I76de1713b1ffa6170e3317d636d013ea6b3dd02b
",True
65,"Fix instantiation stub maker for case where no register is used by function parameters (#25558)

* Fix instantiation stub maker for case where no register is used by function parameters


",True
66,"Delete view and presenter on AppContext.pop()

Change-Id: Ica17f0d6004b2964149ee3184b139143618b797a
",False
67,"[AT-SPI] Windows fixes

Change-Id: I7fae506eb928ed036f90b8922f041f0fb5794737
",True
68,"improve docs of depthwise conv
",False
69,"intel/bufmgr: Cast bitshift to unsigned

../src/mesa/drivers/dri/i965/intel_buffer_objects.c:405:4: runtime error: left shift of 255 by 24 places cannot be represented in type 'int'
    #0 0x7f9404ac4ae1 in brw_map_buffer_range ../src/mesa/drivers/dri/i965/intel_buffer_objects.c:405
    #1 0x7f9405a9cb13 in vbo_save_map_vertex_store ../src/mesa/vbo/vbo_save_api.c:261
    #2 0x7f9405b6a89d in vbo_save_NewList ../src/mesa/vbo/vbo_save_api.c:1774
    #3 0x7f94051aba3d in _mesa_NewList ../src/mesa/main/dlist.c:14172

../src/gallium/drivers/iris/iris_resource.c:1725:61: runtime error: left shift of 255 by 24 places cannot be represented in type 'int'
    #0 0x7fe51c820c8e in iris_map_direct ../src/gallium/drivers/iris/iris_resource.c:1725
    #1 0x7fe51c82322c in iris_transfer_map ../src/gallium/drivers/iris/iris_resource.c:1895
    #2 0x7fe5202628be in u_transfer_helper_transfer_map ../src/gallium/auxiliary/util/u_transfer_helper.c:243
    #3 0x7fe51997c508 in pipe_buffer_map_range ../src/gallium/auxiliary/util/u_inlines.h:344
    #4 0x7fe51997ec8d in u_upload_alloc_buffer ../src/gallium/auxiliary/util/u_upload_mgr.c:221
    #5 0x7fe51997f24f in u_upload_alloc ../src/gallium/auxiliary/util/u_upload_mgr.c:254
    #6 0x7fe51ccf43af in upload_state ../src/gallium/drivers/iris/iris_state.c:323
    #7 0x7fe51d06963a in gen9_init_state ../src/gallium/drivers/iris/iris_state.c:7516
    #8 0x7fe51c7c2ea0 in iris_create_context ../src/gallium/drivers/iris/iris_context.c:294
    #9 0x7fe519dc729b in st_api_create_context ../src/mesa/state_tracker/st_manager.c:921
    #10 0x7fe5198c47ea in dri_create_context ../src/gallium/state_trackers/dri/dri_context.c:161
    #11 0x7fe519898aac in driCreateContextAttribs ../src/mesa/drivers/dri/common/dri_util.c:475

Signed-off-by: Danylo Piliaiev <danylo.piliaiev@globallogic.com>
Reviewed-by: Lionel Landwerlin <lionel.g.landwerlin@intel.com>
Part-of: <https://gitlab.freedesktop.org/mesa/mesa/merge_requests/3825>
",True
70,"Fix build warnings for gcc 9

Change-Id: I3bd2818c304e7a77987009d296e813d18bade7bb
Signed-off-by: Semun Lee <semun.lee@samsung.com>
",True
71,"iris: Handle binding table in the driver

Stop using brw_compiler to lower the final binding table indices for
surface access.  This is done by simply not setting the
'prog_data->binding_table.*_start' fields.  Then make the driver
perform this lowering.

This is a better place to perfom the binding table assignments, since
the driver has more information and will also later consume those
assignments to upload resources.

This also prepares us for two changes: use ibc without having to
implement binding table logic there; and remove unused entries from
the binding table.

Since the `block` field in brw_ubo_range now refers to the final
binding table index, we need to adjust it before using to index
shs->constbuf.

Reviewed-by: Kenneth Graunke <kenneth@whitecape.org>
",False
72,"Reword the docstring of experimental_compile.

PiperOrigin-RevId: 260594287
",False
73,"(Automated Tests) Sync with other repos

Change-Id: Id487a2b321389a7e4d847e88370f5829229f6043
",False
74,"panfrost/midgard: Specify channel count for broadcasting ops

bany/ball type ops read from all 4 channels even though they only write
to 1; specify this in the opcode table like we do for dot products.

Signed-off-by: Alyssa Rosenzweig <alyssa.rosenzweig@collabora.com>
",False
75,"tools: handle pad strip/ring events in the debug-gui

Signed-off-by: Peter Hutterer <peter.hutterer@who-t.net>
",False
76,"Support the semantic stats ($pt, $p, $ct, $c, $r and $a) in the grouping code.

PiperOrigin-RevId: 313821271
Change-Id: I9dbc10cbcc0f81a96f3e3956242392a44a24445b
",False
77,"resolve build error regarding to use of efl_layout_signal_callback_add

Change-Id: I802aa0b1c9819add5bae625078adc9754d80c2b7
",True
78,"[MLIR][XLA] Refactor lhlo_legalize_to_parallel_loops.

Extract the logic to apply lhlo IR in a block with memref arguments to the Values with element types of the respective input memrefs.

PiperOrigin-RevId: 304992790
Change-Id: I23ec0c13a300527a9544e900df3a506542deedd2
",False
79,"Remove touch key/led

Touch key/led is not supported on wearable target.

Change-Id: I521c0e5cdc77a1c29d95dbd1bd339b7a8a17ca96
Signed-off-by: lokilee73 <changjoo.lee@samsung.com>
",False
80,"Internal change

PiperOrigin-RevId: 247095158
",False
81,"Module-scoped buffer assignment.

- Use dataflow analysis in buffer assignment.

- Remove the notion of ""Colocated Buffers"" in buffer assignment to
  simplify the code, also remove the tests for them.

- Use dataflow analysis in memory space coloring (dependency of buffer assignment).

This cl brings us one step closer to the promised land without tuple
points to analysis and to the end of the state of split-brain
between dataflow analysis and tuple points to analysis.

It also greatly improves memory of RNN models with heavy use of
control flows and increases performance of some models by prioritizing
buffer reuse of DUS and scatters.

PiperOrigin-RevId: 248228644
",False
82,"basic/set: constify operations which don't modify Set

No functional change, but it's nicer to the reader.
",False
83,"Filter event counter payloads using CounterType payload (#261)

",False
84,"Add builders for Landmarks2TransformMatrix layer

PiperOrigin-RevId: 286283327
Change-Id: I8fd9102c04ffe56af92fa19b01bcece139c45bae
",False
85,"Support partition limitation even when accelerator name is not specified

PiperOrigin-RevId: 296406206
Change-Id: I4bdd9d0e9b578401bb380828c628e14ef5aa711c
",False
86,"Move Exception to shared partition (#23361)

* Move Exception to shared partition

* Remove class name caching

* Not useful comments removal
",False
87,"Add a pass to optimize tf_saved_model.global_tensor ops.

- Erases unused bound input function arguments.
- Erases global tensors that are not bound to any argument.
- Promotes mutable global tensors to immutable if possible.

PiperOrigin-RevId: 279397147
Change-Id: Icb9c8e7723f9b5263166849f39e7bcc73a8c162a
",False
88,"ac: replace glc,slc with cache_policy for loads

cosmetic change

Reviewed-by: Pierre-Eric Pelloux-Prayer <pierre-eric.pelloux-prayer@amd.com>
",False
89,"panfrost: Remove MALI_ATTR_INTERNAL

It's a relic from before we understood the varying builtins. It should
never actually come up if the builtins are decoded correctly.

Signed-off-by: Alyssa Rosenzweig <alyssa.rosenzweig@collabora.com>
",False
90,"MNIST example with eager and distribution strategy.

PiperOrigin-RevId: 230640725
",False
91,"compat: Update forward compatibility horizon to 2020-02-27

PiperOrigin-RevId: 297536633
Change-Id: I6255b9942a600e0846f0360be2d820661aac68da
",False
92,"Support Remote Input interface

Change-Id: Icbcd0daac6e06f056783f33f20f2bfcda281eb0d
",False
93,"util/os_misc: use detect_os.h to start uncoupling from gallium

Signed-off-by: Eric Engestrom <eric.engestrom@intel.com>
Reviewed-by: Matt Turner <mattst88@gmail.com>
",False
94,"Go: Update generated wrapper functions for TensorFlow ops.

PiperOrigin-RevId: 297049846
Change-Id: I111f8c82debe3b42f3fa06b1a3be23a0b1f62d69
",False
95,"Cleanup for closed bugs: remove associated optimization patches. They no longer seem to have any effect. V2 GPU control flow remains ~20% slower than V1.

PiperOrigin-RevId: 287200087
Change-Id: Ia35f1bdaf9a0ff8b0081f78f853209f86acb010f
",False
96,"Change struct initialization to fix compile on Windows.

PiperOrigin-RevId: 234092192
",True
97,"Fix build error due to toolchain upgrade

Change-Id: I5abfecae1d02032730a50a1a10e831ed8632e1ab
Signed-off-by: Jihoon Kim <jihoon48.kim@samsung.com>
",True
98,"DSDebug: Added LCOV_EXCL to whole code

Change-Id: I814cb5980098b8f38292017f84cf69447d9e8790
Signed-off-by: Junseok, Kim <juns.kim@samsung.com>
",False
99,"pan/midgard: Remove texture_index

This is deadcode.

Signed-off-by: Alyssa Rosenzweig <alyssa.rosenzweig@collabora.com>
",False
100,"Change strtok to strtok_r

Change-Id: I71d78a2a3d4c7dffbbfb167fe9e0dd1fd5d9eff0
Signed-off-by: hyunho <hhstark.kang@samsung.com>
",False
101,"freedreno/ir3: Handle newly added opcode nir_op_imad24_ir3

Simply emit an ir3_MAD_S24 instruction in the backend.

Signed-off-by: Rob Clark <robdclark@chromium.org>
Reviewed-by: Kristian H. Kristensen <hoegsberg@google.com>
Reviewed-by: Eduardo Lima Mitev <elima@igalia.com>
",False
102,"Use log-based sse in eval_mv_mode

Up to this point, non_greedy_mv's BDRate change
lowres -0.397%
midres -0.776%
 hdres -0.637%

Change-Id: I5eb2f03d067d172350dad6ba9a9f4dffef5143cd
",False
103,"iris: sync bugfixes from brw_bufmgr

I wrote softpin support here first, then debugged and landed it in brw;
some of those fixes need to get brought back.
",True
104,"Use common exception for unsupported conversion

Both ValueError and NotImplementedError was
raised when a conversion in `convert_entity_to_ast`
was unsupported.

Common exception: `NotImplementedError`
",True
105,"Changed the type to const

Changed the type to const as it can be readonly",False
106,"Remove unreachable code

Change-Id: I0e8edd0815a62d44afe0d39b1b8090cca306beeb
",False
107,"Add new interfaces to pass event to ise-engine-loader

Change-Id: Ic90cd18593e06b910654d9f3380436c981d9a932
",False
108,"wrap multiple statements in do {} while(!IsConstTrue(true)) (#5655)

",False
109,"[Tizen] Restore Uploaded signal for BufferImage and ResourceImage

This reverts commit bc9001603e607275a95fdc973ca761dac2a4e645.

Change-Id: I35b53acb9b263e58803101b0d8e2bf5a752d0128
",False
110,"Nullable: Annotate remaining System.*Exception (dotnet/coreclr#23585)

* Nullable: Annotate remaining System.*Exception

* PR feedback

Signed-off-by: dotnet-bot <dotnet-bot@microsoft.com>
",False
111,"core/device: fix log message
",False
112,"[mediacontroller] deleting useless lines

[description]
this commit deletes unused attribute names (in js file)
and special cases for TOGGLE_PLAY_PAUSE

[verification]
tct-mediacontroller-tizen-tests 100% PASS

Change-Id: I723c1cc525a35c48eb9ae854bd154b5cd3c9b2df
Signed-off-by: Dawid Juszczak <d.juszczak@samsung.com>
",False
113,"Move Reflection.Emit Tokens to shared partition (dotnet/coreclr#22602)

Signed-off-by: dotnet-bot <dotnet-bot@microsoft.com>
",False
114,"Some C++ fixes
",False
115,"add mli call to fully connected kernel
",False
116,"fix for #32612 : load saved custom Loss class
",True
117,"edje: add missing NULL check

Change-Id: Ia34598789cd1a57678c143fa81e466b5bb8d704c
Signed-off-by: JunsuChoi <jsuya.choi@samsung.com>
",True
118,"eolian: add support for marking and checking parts as beta

Fixes T7837.
",False
119,"vector: lower the tolerance value of VDasher from 1.0 to 0.1
",False
120,"core: use BUS_DEFINE_PROPERTY_GET() macro at more places
",False
121,"elm_image_legacy: remove bad ""legacy"" include

This only contains some Efl_ structures and typedefs now, hidden
behind a BETA_API define. It has no place in legacy.
",False
122,"Change window rotaton policy

Change window rotation policy
If screen width is longer than height, 0 degree will be LANDSCAPE.
Otherwise screen width is shorter than height, 0 degree will be PORTRAIT.

Change-Id: I0aeb9cff6e7e142df210e496fa50105526adeb14
",False
123,"freedreno/ir3: implement texop_texture_samples

Signed-off-by: Jonathan Marek <jonathan@marek.ca>
Reviewed-by: Rob Clark <robclark@gmail.com>
",False
124,"Add Python delegate interface to interpreter.

PiperOrigin-RevId: 252130897
",False
125,"radv: fix getting the index type size for uint8_t

16-bit and 32-bit values match hardware values but 8-bit doesn't.

This fixes dEQP-VK.pipeline.input_assembly.* with 8-bit index.

Fixes: 372c3dcfdb8 (""radv: implement VK_EXT_index_type_uint8"")
Signed-off-by: Samuel Pitoiset <samuel.pitoiset@gmail.com>
Reviewed-by: Bas Nieuwenhuizen <bas@basnieuwenhuizen.nl
",True
126,"fixed incorrect doctests
",False
127,"egl/haiku: Fix reference to disp vs dpy

Reviewed-by: Eric Engestrom <eric.engestrom@intel.com>
Fixes: 00992700c9a812a54563 ""egl: set the EGLDevice when creating a display""
",True
128,"fix jpeg loading which freed the wrong ptr

fixes T8497
@fix
",True
129,"*Show success info and file path to converted model when conversion succeeds.
*Show 'jump to conversion log' near conversion summary.

PiperOrigin-RevId: 278971390
Change-Id: I13c69403cff99791631e4496b3519c4d924d52d5
",False
130,"edje - calce - really respect max image size for img sets

when you have an image set for an image it wouldnt actually respect
image max size and not select something bigger than it.. now it will

@fix
",True
131,"Add support for registering pass pipelines to the PassRegistry. This is done by providing a static registration facility PassPipelineRegistration that works similarly to PassRegistration except for it also takes a function that will add necessary passes to a provided PassManager.

  void pipelineBuilder(PassManager &pm) {
      pm.addPass(new MyPass());
      pm.addPass(new MyOtherPass());
  }

  static PassPipelineRegistration Unused(""unused"", ""Unused pass"", pipelineBuilder);

This is also useful for registering specializations of existing passes:

  Pass *createFooPass10() { return new FooPass(10); }

  static PassPipelineRegistration Unused(""unused"", ""Unused pass"", createFooPass10);

PiperOrigin-RevId: 235996282
",False
132,"solve neon rotation issue by moving to the tiled rotator

the tiles rotator is faster no matter what. this will fix D8099 by
movoing to tiled rotation and nuking the neon code and we end uop
being faster anyway in all cases.

@fix
",True
133,"[Tizen] Add AutofillContainer class and autofill implementation

Change-Id: Id692f31a8f66941f77af5849dfee7b3081d4f636
",False
134,"tree-wide: drop magic.h when missing_magic.h is included
",False
135,"Nullable System.Collections.EmptyReadOnlyDictionaryInternal, System.Collections.ObjectModel.* (#24221)

* annotating collections

* annotated collection.cs and readonlycollection.cs

* adding tkey constraint and comments
",False
